"filename", "language", "JavaScript", "PostCSS", "comment", "blank", "total"
"c:\Users\dhruv\trashteroidzip\src\AsteroidField.js", "JavaScript", 379, 0, 40, 70, 489
"c:\Users\dhruv\trashteroidzip\src\DebrisManager.js", "JavaScript", 433, 0, 3, 82, 518
"c:\Users\dhruv\trashteroidzip\src\Game.js", "JavaScript", 1621, 0, 104, 286, 2011
"c:\Users\dhruv\trashteroidzip\src\HUD.js", "JavaScript", 288, 0, 18, 44, 350
"c:\Users\dhruv\trashteroidzip\src\InputHandler.js", "JavaScript", 63, 0, 9, 13, 85
"c:\Users\dhruv\trashteroidzip\src\IntroScene.js", "JavaScript", 415, 0, 0, 62, 477
"c:\Users\dhruv\trashteroidzip\src\LevelManager.js", "JavaScript", 153, 0, 4, 11, 168
"c:\Users\dhruv\trashteroidzip\src\LevelSelect.js", "JavaScript", 422, 0, 59, 86, 567
"c:\Users\dhruv\trashteroidzip\src\Player.js", "JavaScript", 316, 0, 47, 60, 423
"c:\Users\dhruv\trashteroidzip\src\ProjectileManager.js", "JavaScript", 87, 0, 10, 19, 116
"c:\Users\dhruv\trashteroidzip\src\Starfield.js", "JavaScript", 32, 0, 8, 8, 48
"c:\Users\dhruv\trashteroidzip\src\main.js", "JavaScript", 28, 0, 3, 7, 38
"c:\Users\dhruv\trashteroidzip\src\styles.css", "PostCSS", 0, 1187, 13, 161, 1361
"Total", "-", 4237, 1187, 318, 909, 6651
