"filename", "language", "PostCSS", "JavaScript", "Markdown", "HTML", "JSON", "comment", "blank", "total"
"c:\Users\dhruv\trashteroidzip\README.md", "Markdown", 0, 0, 28, 0, 0, 0, 8, 36
"c:\Users\dhruv\trashteroidzip\index.html", "HTML", 0, 0, 0, 152, 0, 2, 19, 173
"c:\Users\dhruv\trashteroidzip\package.json", "JSON", 0, 0, 0, 0, 20, 0, 1, 21
"c:\Users\dhruv\trashteroidzip\src\AsteroidField.js", "JavaScript", 0, -68, 0, 0, 0, -2, -6, -76
"c:\Users\dhruv\trashteroidzip\src\DebrisManager.js", "JavaScript", 0, 5, 0, 0, 0, 0, 1, 6
"c:\Users\dhruv\trashteroidzip\src\Game.js", "JavaScript", 0, 456, 0, 0, 0, 11, 61, 528
"c:\Users\dhruv\trashteroidzip\src\HUD.js", "JavaScript", 0, 110, 0, 0, 0, -11, 25, 124
"c:\Users\dhruv\trashteroidzip\src\InputHandler.js", "JavaScript", 0, 28, 0, 0, 0, -3, -2, 23
"c:\Users\dhruv\trashteroidzip\src\IntroScene.js", "JavaScript", 0, -40, 0, 0, 0, 3, 0, -37
"c:\Users\dhruv\trashteroidzip\src\LevelManager.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 5
"c:\Users\dhruv\trashteroidzip\src\LevelSelect.js", "JavaScript", 0, -21, 0, 0, 0, 0, -4, -25
"c:\Users\dhruv\trashteroidzip\src\Player.js", "JavaScript", 0, 0, 0, 0, 0, -32, -24, -56
"c:\Users\dhruv\trashteroidzip\src\ProjectileManager.js", "JavaScript", 0, 18, 0, 0, 0, -4, 0, 14
"c:\Users\dhruv\trashteroidzip\src\SpecialDebrisManager.js", "JavaScript", 0, 284, 0, 0, 0, 1, 44, 329
"c:\Users\dhruv\trashteroidzip\src\main.js", "JavaScript", 0, 52, 0, 0, 0, 5, 5, 62
"c:\Users\dhruv\trashteroidzip\src\styles.css", "PostCSS", 215, 0, 0, 0, 0, 0, 35, 250
"c:\Users\dhruv\trashteroidzip\vite.config.js", "JavaScript", 0, 11, 0, 0, 0, 0, 2, 13
"Total", "-", 215, 840, 28, 152, 20, -30, 165, 1390
