"filename", "language", "JavaScript", "PostCSS", "Markdown", "HTML", "JSON", "comment", "blank", "total"
"c:\Users\dhruv\trashteroidzip\README.md", "Markdown", 0, 0, 28, 0, 0, 0, 8, 36
"c:\Users\dhruv\trashteroidzip\index.html", "HTML", 0, 0, 0, 152, 0, 2, 19, 173
"c:\Users\dhruv\trashteroidzip\package.json", "JSON", 0, 0, 0, 0, 20, 0, 1, 21
"c:\Users\dhruv\trashteroidzip\src\AsteroidField.js", "JavaScript", 311, 0, 0, 0, 0, 38, 64, 413
"c:\Users\dhruv\trashteroidzip\src\DebrisManager.js", "JavaScript", 438, 0, 0, 0, 0, 3, 83, 524
"c:\Users\dhruv\trashteroidzip\src\Game.js", "JavaScript", 2077, 0, 0, 0, 0, 115, 347, 2539
"c:\Users\dhruv\trashteroidzip\src\HUD.js", "JavaScript", 398, 0, 0, 0, 0, 7, 69, 474
"c:\Users\dhruv\trashteroidzip\src\InputHandler.js", "JavaScript", 91, 0, 0, 0, 0, 6, 11, 108
"c:\Users\dhruv\trashteroidzip\src\IntroScene.js", "JavaScript", 375, 0, 0, 0, 0, 3, 62, 440
"c:\Users\dhruv\trashteroidzip\src\LevelManager.js", "JavaScript", 158, 0, 0, 0, 0, 4, 11, 173
"c:\Users\dhruv\trashteroidzip\src\LevelSelect.js", "JavaScript", 401, 0, 0, 0, 0, 59, 82, 542
"c:\Users\dhruv\trashteroidzip\src\Player.js", "JavaScript", 316, 0, 0, 0, 0, 15, 36, 367
"c:\Users\dhruv\trashteroidzip\src\ProjectileManager.js", "JavaScript", 105, 0, 0, 0, 0, 6, 19, 130
"c:\Users\dhruv\trashteroidzip\src\SpecialDebrisManager.js", "JavaScript", 284, 0, 0, 0, 0, 1, 44, 329
"c:\Users\dhruv\trashteroidzip\src\Starfield.js", "JavaScript", 32, 0, 0, 0, 0, 8, 8, 48
"c:\Users\dhruv\trashteroidzip\src\main.js", "JavaScript", 80, 0, 0, 0, 0, 8, 12, 100
"c:\Users\dhruv\trashteroidzip\src\styles.css", "PostCSS", 0, 1402, 0, 0, 0, 13, 196, 1611
"c:\Users\dhruv\trashteroidzip\vite.config.js", "JavaScript", 11, 0, 0, 0, 0, 0, 2, 13
"Total", "-", 5077, 1402, 28, 152, 20, 288, 1074, 8041
